countyName,OWNER_TYPE,IS_PUBLIC,total_acres,parcel_count
Adams,Company,True,993973.9866,39741
Adams,Individual,True,2689481.9448,131352
Adams,Public,True,40684.3517,3620
Adams,Trust,True,182107.7821,6137
Adams,Unknown,True,8134.353499999999,448
Arapahoe,Company,True,0.0,38795
Arapahoe,Individual,True,0.0,166150
Arapahoe,Public,True,0.0,3156
Arapahoe,Trust,True,0.0,14575
Arapahoe,Unknown,True,0.0,2673
Archuleta,Company,True,208204.54903413894,3528
Archuleta,Individual,True,440377.75916645385,11461
Archuleta,Public,True,606991.4397356596,284
Archuleta,Trust,True,39799.952656062196,1938
Archuleta,Unknown,True,783.0097698444456,451
Boulder,Company,True,0.0,28934
Boulder,Individual,True,0.0,96710
Boulder,Public,True,0.0,3815
Boulder,Trust,True,0.0,12487
Boulder,Unknown,True,0.0,842
Broomfield,Company,True,11771.887,5821
Broomfield,Individual,True,5026.422,19095
Broomfield,Public,True,391.57,263
Broomfield,Trust,True,742.099,2160
Broomfield,Unknown,True,25.807000000000002,50
Clear Creek,Company,True,75882.507,6994
Clear Creek,Individual,True,876192.1089999999,14514
Clear Creek,Public,True,14405.782000000001,1430
Clear Creek,Trust,True,5993.016,1418
Clear Creek,Unknown,True,0.0,2
Delta,Company,True,124347.39959800962,3307
Delta,Individual,True,188460.3237592274,13644
Delta,Public,True,387360.60660329467,722
Delta,Trust,True,29549.395418228483,1243
Delta,Unknown,True,0.31937738200522175,1
Denver,Company,True,0.0,46369
Denver,Individual,True,0.0,173842
Denver,Public,True,0.0,2361
Denver,Trust,True,0.0,14253
Denver,Unknown,True,0.0,1899
Dolores,Company,True,166241.52,1146
Dolores,Individual,True,3768448.17,2915
Dolores,Public,True,967.63,28
Dolores,Trust,True,22317.32,228
Dolores,Unknown,True,0.0,147
Douglas,Company,True,190896.9136,35200
Douglas,Individual,True,141053.9663,106920
Douglas,Public,True,168357.034,5465
Douglas,Trust,True,38178.441,13249
Douglas,Unknown,True,557.8239,706
El Paso,Company,True,55441726.0,49489
El Paso,Individual,True,242446329.0,200997
El Paso,Public,True,4298837.0,3209
El Paso,Trust,True,17895454.0,14890
El Paso,Unknown,True,0.0,2087
Elbert,Company,True,715260.023,4237
Elbert,Individual,True,508457.79600000003,10802
Elbert,Public,True,16359.19,276
Elbert,Trust,True,126606.825,1095
Elbert,Unknown,True,1414.446,135
Garfield,Company,True,280454.31257078,6881
Garfield,Individual,True,688739.85719474,15937
Garfield,Public,True,901264.07320322,1163
Garfield,Trust,True,23139.77004947,1603
Garfield,Unknown,True,356.4859959,2863
Gilpin,Company,True,21187.628,2017
Gilpin,Individual,True,21023.318,4874
Gilpin,Public,True,5750.124,560
Gilpin,Trust,True,3885.898,506
Gilpin,Unknown,True,0.0,1447
Grand,Company,True,385708.52744330117,7831
Grand,Individual,True,98921.0022057313,15909
Grand,Public,True,1181298.3714990083,1228
Grand,Trust,True,28937.004020275424,2486
Grand,Unknown,True,91230.69866642077,612
Gunnison,Unknown,True,2360154.215467213,20099
Huerfano,Company,True,1386422.81,3138
Huerfano,Individual,True,936748.84,12421
Huerfano,Public,True,30111.0,340
Huerfano,Trust,True,113830.97,617
Huerfano,Unknown,True,0.0,0
Jefferson,Company,True,246654.8207,33764
Jefferson,Individual,True,240562.9877,174014
Jefferson,Public,True,411083.6361,3834
Jefferson,Trust,True,100536.71840000001,16301
Jefferson,Unknown,True,279.6312,28128
LaPlata,Company,True,232566.922,7246
LaPlata,Individual,True,1170086.928,23158
LaPlata,Public,True,145345.28399999999,1019
LaPlata,Trust,True,590986.872,3777
LaPlata,Unknown,True,1616.891,211
Lake,Company,True,36644.272,2646
Lake,Individual,True,33833.744,5616
Lake,Public,True,23214.832,569
Lake,Trust,True,4293.704,514
Lake,Unknown,True,0.0,191
Larimer,Company,True,0.0,40102
Larimer,Individual,True,0.0,120117
Larimer,Public,True,0.0,4289
Larimer,Trust,True,0.0,11135
Larimer,Unknown,True,0.0,1519
Logan,Company,True,414236.4872,2449
Logan,Individual,True,554928.1365,7919
Logan,Public,True,19988.2172,430
Logan,Trust,True,83677.7723,573
Logan,Unknown,True,73316.9992,768
Mesa,Company,True,435556.72149431,15394
Mesa,Individual,True,606080.75486054,54908
Mesa,Public,True,1025585.77374221,1867
Mesa,Trust,True,50676.1365812,4505
Mesa,Unknown,True,1197.74981955,987
Moffat,Company,True,0.0,2366
Moffat,Individual,True,0.0,6588
Moffat,Public,True,0.0,597
Moffat,Trust,True,0.0,680
Montezuma,Company,True,92776.0412,3098
Montezuma,Individual,True,217637.64359316,10694
Montezuma,Public,True,19745.78863177,308
Montezuma,Trust,True,38604.2825,1206
Montezuma,Unknown,True,1238.0975,84
Montrose,Unknown,True,0.0,28429
Morgan,Company,True,0.0,3927
Morgan,Individual,True,0.0,10759
Morgan,Public,True,0.0,338
Morgan,Trust,True,0.0,713
Morgan,Unknown,True,0.0,21
Ouray,Company,True,118562.23778692649,2335
Ouray,Individual,True,58186.972349481584,3592
Ouray,Public,True,14911.303480159997,852
Ouray,Trust,True,12522.407767501769,805
Ouray,Unknown,True,150067.9329326793,122
Park,Company,True,515968.02653174,6666
Park,Individual,True,1312479.27908304,30976
Park,Public,True,741446.66605801,545
Park,Trust,True,40634.93246423,2776
Park,Unknown,True,7755.67976168,700
Pitkin,Company,True,96413.8547686004,7435
Pitkin,Individual,True,199757.6112335618,8438
Pitkin,Public,True,6168.588656845023,393
Pitkin,Trust,True,22891.53147979805,2401
Pitkin,Unknown,True,763.0332647054357,479
Pueblo,Company,True,0.0,20866
Pueblo,Individual,True,0.0,76642
Pueblo,Public,True,0.0,1353
Pueblo,Trust,True,0.0,2083
Pueblo,Unknown,True,0.0,53
Rio Blanco,Company,True,418637.0,1510
Rio Blanco,Individual,True,134537.0,2989
Rio Blanco,Public,True,197686695.0,297
Rio Blanco,Trust,True,23935.0,245
Rio Blanco,Unknown,True,0.0,15
Rio Grande,Company,True,0.0,2761
Rio Grande,Individual,True,0.0,9538
Rio Grande,Public,True,0.0,327
Rio Grande,Trust,True,0.0,836
Rio Grande,Unknown,True,0.0,10
Routt,Company,True,568543.97,7539
Routt,Individual,True,325174.57,14433
Routt,Public,True,675090.8,955
Routt,Trust,True,58642.77,2687
Routt,Unknown,True,0.0,45
San Juan,Company,True,0.0,117
San Juan,Individual,True,0.0,311
San Juan,Public,True,0.0,26
San Juan,Trust,True,0.0,38
San Juan,Unknown,True,0.0,0
San Miguel,Company,True,172747.94465752592,3999
San Miguel,Individual,True,137079.95636177558,4866
San Miguel,Public,True,495073.1512385991,737
San Miguel,Trust,True,23404.295679555824,766
San Miguel,Unknown,True,2128.718442061085,287
Sedgwick,Company,True,146840.48271,836
Sedgwick,Individual,True,155992.285,1932
Sedgwick,Public,True,4939.342,122
Sedgwick,Trust,True,41710.19,244
Sedgwick,Unknown,True,0.0,0
Summit,Unknown,True,396427.8354,37953
Washington,Unknown,True,1559460.784,6399
Weld,Company,True,1126149.766276289,43237
Weld,Individual,True,1229022.270946967,102809
Weld,Public,True,50129.16362336474,3749
Weld,Trust,True,140086.80104275112,5477
Weld,Unknown,True,1374.9431283380986,621
Yuma,Company,True,550377.6386,3434
Yuma,Individual,True,751056.798,6960
Yuma,Public,True,14394.7535,252
Yuma,Trust,True,220391.5269,1229
Yuma,Unknown,True,0.0,17
