county,private_acres,parcel_count
adams,3865303.3137,177055
alamosa,1613864.1511341445,0
arapahoe,2781006.461769222,219008
archuleta,688331.050856655,16925
baca,5175829.14097634,0
bent,6511899.503813192,0
boulder,2936683.8115396583,138023
broomfield,17499.291,27060
chaffee,258166.8967751715,0
cheyenne,4908932.318772172,0
clear creek,958059.512,22921
conejos,1086296.6603063657,0
costilla,1971120.094172834,0
crowley,4187250.2652392033,0
custer,1217478.9857260275,0
delta,552662.9899388612,18528
denver,1462741.8608650947,234340
dolores,3957007.01,4289
douglas,369339.8997,155273
eagle,1424748.2965722636,0
el paso,315640265.0,265320
elbert,1348889.038,16130
fremont,2944693.2172704237,0
garfield,1862909.60098884,24782
gilpin,46361.684,7400
grand,513559.01226644096,26201
gunnison,902223.5954023527,0
hinsdale,49551.05710243188,0
huerfano,2439063.42,16197
jackson,431147.88444607664,0
jefferson,587333.1538,224019
kiowa,6948510.450645753,0
kit carson,6754327.681726209,0
la plata,437618.6879204162,0
lake,74850.942,8775
laplata,1997784.46,34181
larimer,2856466.933574121,171217
las animas,7857676.275307231,0
lincoln,8759787.483873142,0
logan,1052841.4813,10941
mesa,1117375.51329069,74833
mineral,211916.4843394292,0
moffat,1853822.855625514,9631
montezuma,355880.08329316,15078
montrose,946650.0526169768,0
morgan,6000828.96041149,15397
otero,5728931.052977169,0
ouray,196661.56338137356,6764
park,1893635.18807901,40446
phillips,3161924.387465723,0
pitkin,318940.2229266341,18271
prowers,4074836.577940492,0
pueblo,7243654.4625858255,99091
rio blanco,195440636.0,4908
rio grande,1013635.9222350356,13174
routt,951644.48,24659
saguache,933477.3153316728,0
san juan,28467.2282935128,466
san miguel,333116.813385241,9618
sedgwick,347520.12771000003,3022
summit,317288.4943243237,0
teller,1204308.034241541,0
washington,8543052.361572864,0
weld,2494787.2169830985,151465
yuma,1531021.1803,11647
